  id   |     name      |           permisoemb           | estado 
  6505 | MSDU-531566-0 | 25001EC03007001U               |    300
  6520 | GCXU-519511-9 | 25001EC01046919Z               |      0
  6512 | TCLU-269549-8 | 25001EC01046698U               |    200
  6511 | SUDU-783431-8 | 25001EC01046698U               |    200
  6541 | UACU-858452-5 | 25001PER1000400P               |    300
  6521 | MRKU-974308-4 | 25001EC01047185M               |    200
  6509 | APZU-371864-4 | 25001EC01046698U               |    200
  6517 | SEGU-595337-0 | 25001EC01046919Z               |    200
  6508 | JXLU-450330-1 | 25001EC01047593P               |    300
  6507 | GAOU-689641-0 | 25001EC01047593P               |    300
  6522 | HASU-114968-0 | 25001EC01047185M               |    200
  6538 | DFSU-249229-0 | 25001PE01000251X               |      0
  6539 | FFAU-413503-3 | 25001EC01043016B               |      0
  6540 | MSMU-779929-8 | 25001EC01043016B               |      0
  6542 | HLBU-396305-6 | 25001PE01000258P               |      0
  6523 | MRKU-935326-0 | 25001EC01047185M               |    200
  6515 | EMCU-162204-8 | 25001EC03007492L               |    300
  6514 | CAAU-521677-4 | 25001EC03007492L               |    300
  6516 | EITU-189370-3 | 25001EC03007492L               |    300
  6513 | EGSU-991690-0 | 25001EC03007492L               |    300
  6518 | EGHU-944058-0 | 25001EC03007492L               |    300
  6519 | EGSU-940821-6 | 25001EC03007492L               |    300
  6531 | CAIU-728059-0 | 25001EC03006992P               |    200
  6524 | FCIU-742550-0 | 25001EC03006992P               |    200
  6563 | UETU-261400-0 | 25001EC03007483L               |    200
  6525 | UETU-807444-4 | 25001EC03006992P               |    200
  6535 | JXLU-639362-5 | 25001EC01047785S               |    300
  6544 | HASU-499639-6 | 25001EC01045235G               |    300
  6543 | TCLU-879392-7 | 25001EC01045235G               |    300
  6532 | HLBU-909625-0 | 25001EC01047413G               |    300
  6533 | HLBU-208355-0 | 25001EC01047130C               |    300
  6530 | CMAU-091077-2 | 25001EC01046664N               |    300
  6528 | TGHU-004732-4 | 25001EC01046664N               |    300
  6501 | TCLU-374244-4 | 25001EC01046256K               |    300
  6500 | CMAU-190115-8 | 25001EC01046256K               |    300
  6502 | UETU-256613-3 | 25001EC01046256K               |    300
  6504 | UETU-240171-9 | 25001EC01046256K               |    300
  6503 | TRHU-105238-0 | 25001EC01046256K               |    300
  6526 | TLLU-276617-8 | 25001EC01046664N               |    300
  6498 | PCIU-007585-9 | 25001EC03007517J               |    300
  6590 | PCIU-121399-4 | 25001EC01047191J               |    300
  6547 | MEDU-722975-3 | 25001EC01042348X               |      0
  6588 | PCIU-018522-3 | 25001EC01047191J               |    300
  6587 | PCIU-022214-2 | 25001EC01047191J               |    300
  6555 | MRSU-655694-5 | 25001EC01044153E               |      0
  6552 | TCLU-973274-1 | 25001EC01042348X               |    200
  6561 | ZCSU-892804-8 | 25001EC01047944P               |    300
  6560 | TRHU-848206-3 | 25001EC01047944P               |    300
  6570 | BEAU-497199-5 | 25001EC01047625L               |    300
  6567 | FANU-321407-0 | 25001EC01047625L               |    300
  6562 | DFSU-153486-9 | 25001EC03007483L               |    200
  6568 | HLBU-254193-0 | 25001EC01047625L               |    300
  6569 | FANU-503532-5 | 25001EC01047625L               |    300
  6571 | FANU-101629-2 | 25001EC01047625L               |    300
  6557 | MRSU-348962-7 | 25001EC01044153E               |    300
  6554 | MSKU-168389-0 | 25001EC01044153E               |    300
  6550 | TEMU-733360-5 | 25001EC01044153E               |    300
  6556 | MRSU-763978-8 | 25001EC01044153E               |    300
  6565 | TCKU-179976-2 | 25001EC03007483L               |    200
  6564 | MSDU-296419-8 | 25001EC03007483L               |    200
  6558 | TEMU-151667-7 | 25001EC01045059K               |    200
  6559 | MRKU-842195-1 | 25001EC01045059K               |    200
  6586 | PCIU-289256-5 | 25001EC01047191J               |      0
  6551 | MRSU-605220-3 | 25001EC01046394N               |    300
  6548 | MRKU-534748-6 | 25001EC01046394N               |    300
