fecha,contenedor,estado,cliente,alerta_enviada
2025-02-18,TLLU-775219-8,18:00 Arribado,Compañia Bulk S.A.,
2025-02-18,MSMU-759529-4,18:00 Arribado,Candalar S.A.,
2025-02-19,MEDU-459167-1,11:20 Arribado,Mazon Textil Sa,
2025-02-19,MSNU-506741-3,14:40 Arribado,Jakytextil S.A.,
2025-02-19,HLBU-273260-1,16:00 Arribado,Mercovan Argentina Srl,
2025-02-19,EGSU-107667-1,16:00 Arribado,Jupam Sa,
2025-02-19,MSMU-736532-6,16:00 Arribado,Telamania Srl,
2025-02-19,MSBU-814675-6,17:50 Arribado,Berkma S.A.,
2025-02-19,DFSU-779156-6,17:50 Arribado,Berkma S.A.,
2025-02-19,MSNU-979001-4,17:50 Arribado,Awam Tex Srl,
2025-02-19,FFAU-237453-2,17:50 Arribado,Awam Tex Srl,
2025-02-19,MEDU-880336-2,17:50 Arribado,Telamania Srl,
2025-02-19,UETU-649600-8,17:50 Arribado,Telamania Srl,
2025-02-19,CAIU-869529-3,17:50 Arribado,Telamania Srl,
2025-02-19,TCNU-172835-7,18:40 Arribado,Minera Santa Rita Srl,
2025-02-19,MSNU-590558-4,19:00 Arribado,Tio Musa,
2025-02-19,MEDU-499303-2,19:00 Arribado,Telamania Srl,
2025-02-20,EISU-947077-2,19:20 Arribado,Mma Tex S.A.,
2025-02-20,TEMU-627128-4,19:30 Arribado,Textil Praga Srl,
2025-02-20,TRHU-340504-3,19:30 Arribado,Chemotecnica Sa,
2025-02-20,PIDU-423040-5,19:30 Arribado,Grass S. R. L.,
2025-02-20,TIIU-405137-7,19:30 Arribado,Grass S. R. L.,
2025-02-21,MSBU-510409-0,16:38 Arribado,Grapot Sa,
2025-02-24,UETU-687139-3,15:20 Arribado,Awam Tex Srl,
2025-02-24,MSNU-527157-7,15:30 Arribado,Awam Tex Srl,
2025-02-24,MSDU-768797-0,15:30 Arribado,Telamania Srl,
2025-02-24,MSBU-817288-4,15:30 Arribado,Jakytextil S.A.,
2025-02-24,MRKU-096262-5,17:30 Arribado,Ajec Autoadhesivos Sa,
2025-02-25,HLBU-119252-0,16:30 Arribado,Fenisan S.A.,
2025-02-25,MSBU-818865-9,16:40 Arribado,Jupam Sa,
2025-02-25,BMOU-551194-1,16:40 Arribado,Jupam Sa,
2025-02-25,FFAU-646822-3,17:30 Arribado,Shipy S.A.,
2025-02-25,TLLU-254412-3,18:50 Arribado,Industrias Saladillo S.A.,
2025-02-26,TCLU-284357-4,16:40 Arribado,Lift Van Int. Co S.A,
2025-02-26,CAAU-941585-6,18:30 Arribado,Aoda Sa,
2025-02-26,CAAU-923426-7,18:30 Arribado,Aoda Sa,
2025-02-26,TGBU-440612-2,18:30 Arribado,Aoda Sa,
