Booking,enviado,fecha
BUA0359894,1,2026-01-26 16:06:45.422668
BUE600008600,1,2026-01-26 16:41:38.788962
BUE600008500,1,2026-01-26 17:26:37.638143
94178991,1,2026-01-27 09:26:37.097163
94247376,1,2026-01-27 09:36:38.244731
ZIMUBUE9046689,1,2026-01-27 10:31:40.872146
EBKG15604981,1,2026-01-27 12:26:39.462100
BUA0359885,1,2026-01-27 15:21:40.111133
18894965,1,2026-01-27 16:01:47.081564
34041022,1,2026-01-27 16:02:50.242478
ZIMUBUE9046953,1,2026-01-27 18:51:37.175878
BUE600002600,1,2026-01-28 11:51:37.027174
BUE600014300,1,2026-01-28 11:52:38.026972
EBKG15591592,1,2026-01-28 12:46:34.851660
31071119,1,2026-01-29 12:11:40.258590
265128307,1,2026-01-29 12:21:41.466163
ZIMUBUE9046774,1,2026-01-30 10:21:37.728462
263760790,1,2026-01-30 10:51:37.638760
BUA0360735,1,2026-01-30 11:36:37.235622
263714641,1,2026-01-30 15:03:06.240065
265192302,1,2026-01-30 15:03:52.971076
265712867,1,2026-01-30 15:04:33.812334
BUE600011100,1,2026-01-30 15:05:19.462092
EBKG15526219,1,2026-01-30 18:16:30.505204
BUA0359805,1,2026-02-02 10:31:15.701261
265451578,1,2026-02-02 10:46:10.443879
93316718,1,2026-02-02 11:31:15.862914
BUE500252600,1,2026-02-02 13:16:11.867407
COSU6443689070,1,2026-02-02 13:17:01.762715
153IAR0654790,1,2026-02-02 15:01:17.914632
BUA0361026,1,2026-02-02 17:46:09.995746
COSU6443192400,1,2026-02-02 17:47:00.324688
BUA0361028,1,2026-02-02 18:31:12.319128
265831421,1,2026-02-03 11:01:11.217766
BUA0359771,1,2026-02-03 11:02:03.151889
BUA0359703,1,2026-02-03 11:16:02.790456
BUA0359963,1,2026-02-03 11:31:14.598796
265583225,1,2026-02-03 14:46:05.786094
ZIMUBUE9046686,1,2026-02-03 15:31:10.368640
BUA0359961,1,2026-02-03 16:16:09.051812
340600002704,1,2026-02-04 10:16:16.214604
38040089,1,2026-02-04 10:46:04.161660
265928062,1,2026-02-04 11:16:15.134194
ZIMUBUE9046992,1,2026-02-04 15:16:14.084046
BUA0360187,1,2026-02-04 17:01:20.533615
26001EC01007073F,1,2026-02-04 19:16:06.718546
340600003379,1,2026-02-05 16:01:08.587147
ZIMUBUE9047185,1,2026-02-05 16:02:37.404346
265934332,1,2026-02-06 11:16:04.901567
340600004588,1,2026-02-06 12:46:12.348659
340600004570,1,2026-02-06 14:16:15.051143
36860677,1,2026-02-06 16:46:04.542413
COSU6444708820,1,2026-02-06 18:16:05.477196
BUE600003700,1,2026-02-09 09:46:07.934206
29776405,1,2026-02-09 10:01:10.936841
266165917,1,2026-02-09 12:16:03.539308
90293314,1,2026-02-09 12:16:52.701354
ZIMUBUE9047204,1,2026-02-09 14:46:04.530398
265762647,1,2026-02-09 18:46:03.568846
266107361,1,2026-02-10 11:46:02.002563
266166435,1,2026-02-10 15:46:18.245701
BUA0360775,1,2026-02-10 15:47:10.929061
EBKG15687689,1,2026-02-10 15:48:16.487293
27653690,1,2026-02-10 17:31:09.470721
38880230,1,2026-02-10 17:31:53.562109
64327494,1,2026-02-10 17:32:54.843348
20479953,1,2026-02-10 18:01:15.455400
266164277,1,2026-02-10 18:02:02.480548
28762191,1,2026-02-10 18:46:07.606395
90033076,1,2026-02-10 18:46:52.093646
266104503,1,2026-02-11 10:45:59.135672
90565458,1,2026-02-11 10:46:43.528574
266049284,1,2026-02-11 11:01:14.286238
26001EC01000621U,1,2026-02-11 12:01:09.958091
266105812,1,2026-02-11 12:31:18.007520
COSU6444595550,1,2026-02-11 17:16:08.894018
EBKG15591931,1,2026-02-12 10:16:07.306744
266003587,1,2026-02-12 12:16:03.354459
266005875,1,2026-02-12 12:46:09.371843
ZIMUBUE9047210,1,2026-02-12 19:16:01.414418
BUE600029200,1,2026-02-12 19:31:17.555849
EBKG15732941,1,2026-02-12 19:32:03.613497
BUE600022100,1,2026-02-12 20:16:04.409230
BUE600007800,1,2026-02-13 12:31:10.894162
265820709,1,2026-02-13 15:46:04.384206
62328312,1,2026-02-13 16:31:11.713518
COSU6441505090,1,2026-02-13 18:01:10.532288
B946026690,1,2026-02-13 18:31:12.423170
26001EC01009196N,1,2026-02-18 10:46:12.692593
BUA0360784,1,2026-02-18 14:16:14.458904
266276768,1,2026-02-18 14:31:08.183423
BUE600032500,1,2026-02-18 15:16:08.395408
ZIMUBUE9047372,1,2026-02-18 15:16:52.245055
28591702,1,2026-02-18 16:46:07.198921
BUA0361424,1,2026-02-20 17:16:06.454155
EBKG15824161,1,2026-02-23 12:46:06.360258
EBKG15792157,1,2026-02-23 16:16:07.844385
266378092,1,2026-02-23 17:16:04.625164
32903249,1,2026-02-23 17:16:47.956107
BUE600032700,1,2026-02-23 17:17:33.665794
36064517,1,2026-02-24 10:31:07.222637
153IAR0655614,1,2026-02-24 11:46:03.091391
266368990,1,2026-02-24 11:46:45.066460
266609396,1,2026-02-24 12:16:04.472423
EBKG15810196,1,2026-02-24 12:46:10.938319
34525904,1,2026-02-24 14:01:09.187271
LA0476597,1,2026-02-24 14:01:57.759834
26620139,1,2026-02-24 17:16:04.173341
BUA0361832,1,2026-02-24 17:16:49.683350
BUE600032800,1,2026-02-24 17:17:32.874508
34700097,1,2026-02-25 15:46:10.165500
266683918,1,2026-02-25 17:31:16.867985
266156666,1,2026-02-25 18:31:06.024654
26001EC01009630G,1,2026-02-26 15:31:09.985487
266420865,1,2026-02-26 17:01:16.349793
BUE600033800,1,2026-02-26 18:16:05.290151
266639504,1,2026-02-26 19:46:01.377141
ZIMUBUE9047459,1,2026-03-02 09:16:08.027151
BUA0362655,1,2026-03-02 12:16:19.490312
BUEG01676700,1,2026-03-02 12:17:03.684218
ZIMUBUE9047632,1,2026-03-03 01:01:38.429010
266423306,1,2026-03-03 14:46:09.930231
266461132,1,2026-03-03 14:46:52.327032
ZIMUBUE9047516,1,2026-03-03 14:47:36.470655
266573448,1,2026-03-03 15:01:49.286561
LA0475947,1,2026-03-03 16:16:16.214149
266376132,1,2026-03-03 17:46:10.912086
153IAR0655829,1,2026-03-04 15:01:17.830624
ZIMUBUE9047873,1,2026-03-04 15:16:14.396645
26001EC03002204V,1,2026-03-06 11:16:07.519926
267107885,1,2026-03-09 11:16:14.248473
267107907,1,2026-03-09 11:17:07.841267
BUEG01969500,1,2026-03-09 11:17:59.986025
26001PE01000043X,1,2026-03-10 10:01:30.967629
267155461,1,2026-03-10 11:46:09.524266
ZIMUBUE9048101,1,2026-03-10 15:31:11.812178
BUA0363547,1,2026-03-11 09:31:13.107050
73126044,1,2026-03-11 12:01:26.620793
40824842,1,2026-03-11 12:16:17.933428
BUA0363546,1,2026-03-11 15:01:23.435015
266914658,1,2026-03-12 10:16:11.417402
266986506,1,2026-03-12 12:01:25.515378
265641125,1,2026-03-12 12:31:18.568475
RIV034048,1,2026-03-12 12:32:18.230818
266745333,1,2026-03-13 09:01:40.586937
266608962,1,2026-03-13 10:01:32.729443
266608779,1,2026-03-13 10:16:08.233163
266609035,1,2026-03-13 16:46:25.647014
266469585,1,2026-03-16 11:01:38.912574
266985774,1,2026-03-16 11:02:22.099925
267375603,1,2026-03-16 11:03:24.530499
267433713,1,2026-03-16 11:04:13.876600
EBKG16159490,1,2026-03-16 11:04:56.453595
267433604,1,2026-03-16 12:01:28.994955
266469563,1,2026-03-16 12:31:09.681827
ZIMUBUE9048026,1,2026-03-17 10:31:21.113865
BUA0363985,1,2026-03-17 12:16:12.889029
267050779,1,2026-03-17 14:46:15.985017
36044582,1,2026-03-17 15:01:41.279965
BUA0363939,1,2026-03-17 15:31:38.344898
BUA0363984,1,2026-03-17 15:46:08.448969
17786254,1,2026-03-17 16:31:24.529675
BUEG02390800,1,2026-03-17 17:16:10.876548
10731513,1,2026-03-17 17:31:12.743989
10387650,1,2026-03-18 10:46:32.429653
92033560,1,2026-03-18 11:46:54.864740
25321045,1,2026-03-18 12:32:17.412803
50677024,1,2026-03-18 13:02:49.617821
267369232,1,2026-03-18 16:16:20.502643
