Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally
28/11,Lawter Argentina S.A...,39679-0-1,  : 0                         ,PCIU-863461-3,0.0,************        ,TRP  15HS,Pendiente,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27890
28/11,Lawter Argentina S.A...,39660-0-1,  : 0                         ,PCIU-866382-2,0.0,*************       ,TRP   15HS,Pendiente,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27889
28/11,Helvecia S.A.,39744-0-1,  : 0                         ,MRKU-581559-2,0.0,***********         ,EXOLGAN  16HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27910
28/11,Pallets Nef De Raul ...,39701-0-1,  : 0                         ,TCNU-420762-4,0.0,***********         ,TERMINAL 4  11HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27898
28/11,Chaguar Sociedad Ano...,39747-0-1,  : 0                         ,FTAU-159149-0,0.0,************        ,EXOLGAN  19HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27914
28/11,Borax Argentina S A,39734-0-1,  : 0                         ,MRKU-741614-3,0.0,************        ,TERMINAL 4  13HS,Pendiente,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27903
28/11,Termoplasticos Del S...,39761-0-1,  : 0                         ,FANU-134396-8,0.0,                    ,EXOLGAN  13HS,Pendiente,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27920
28/11,Termoplasticos Del S...,39807-0-1,  : 0                         ,HLBU-237434-4,0.0,                    ,EXOLGAN  13HS,Pendiente,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27921
28/11,Chaguar Sociedad Ano...,39746-0-1,  : 0                         ,HLBU-118276-9,0.0,**************      ,EXOLGAN  19HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27913
28/11,Borax Argentina S A,39732-0-1,  : 0                         ,MSKU-578886-3,0.0,*************       ,TERMINAL 4  13HS,Pendiente,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27902
